,No,Original_Name,Japanese_Name,Generation,Height_m,Weight_kg,Type_1,Type_2,Ability_1,Ability_2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Capture_Rate,Base_EXP,Final_EXP,Category,Mega_Evolution _Flag,Region_Forme,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Mean,PE_HP,PE_Attack,PE_Defense,PE_SP_Attack,PE_SP_Defense,PE_Speed,EV_yield,Base_Friendship,Growth_Rate,Egg_Cycle,Experience type,Experience to level 100,Final Evolution,Is_Legendary,Is_Sublegendary,Is_Mythical,Mega Evolution,Alolan Form,Galarian Form,Gigantamax,Mega_evolution,Mega_evolution_alt,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,BMI,Pokemon_Category,Evolution_type,Evochain_0,Evochain_1,Evochain_2,Evochain_3,Evochain_4,Evochain_5,Evochain_6,Description
Magby,240,Magby,Buby,2,0.7,21.4,Fire,,Flame Body,,Vital Spirit,Red,75,25,0,25,Undiscovered,,45,73,1000000,Ordinary,,,45,75,37,70,55,83,365,60.8,0,0,0,0,0,1,1 Speed,50,Medium Fast,25,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,43.7,Live Coal,3 stages evolution,Magby,Level ,Magmar,Trade with  Magmarizer,Magmortar,,,"This Pokémon is still small and timid. Whenever Magby gets excited or surprised, flames leak from its mouth and its nose."
Miltank,241,Miltank,Miltank,2,1.2,75.5,Normal,,Thick Fat,Scrappy,Sap Sipper,Pink,0,100,0,20,Ground,,45,172,1250000,Ordinary,,,95,80,105,40,70,100,490,81.7,0,0,2,0,0,0,2 Defense,50,Slow,20,Slow,1250000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,52.4,Milk Cow,No evolution,Miltank,,,,,,,"Miltank produces highly nutritious milk, so it’s been supporting the lives of people and other Pokémon since ancient times."
Blissey,242,Blissey,Happinas,2,1.5,46.8,Normal,,Natural Cure,Serene Grace,Healer,Pink,0,100,0,40,Fairy,,30,635,800000,Ordinary,,,255,10,10,75,135,55,540,90.0,3,0,0,0,0,0,3 HP,140,Fast,40,Fast,800000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,20.8,Happiness,3 stages evolution,Happiny,Level up during day while holding Oval Stone,Chansey,Level Up with Happiness Value at 220,Blissey,,,"Whenever a Blissey finds a weakened Pokémon, it will share its egg and offer its care until the other Pokémon is all better."
Raikou,243,Raikou,Raikou,2,1.9,178.0,Electric,,Pressure,,Inner Focus,Yellow,0,0,100,80,Undiscovered,,3,290,1250000,Legendary,,,90,85,75,115,100,115,580,96.7,0,0,0,1,0,2,"1 Special Attack, 2 Speed",35,Slow,80,Slow,1250000,1,1,1,0,0,0,0,,,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,49.3,Thunder,No evolution,Raikou,,,,,,,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.
Entei,244,Entei,Entei,2,2.1,198.0,Fire,,Pressure,,Inner Focus,Brown,0,0,100,80,Undiscovered,,3,290,1250000,Legendary,,,115,115,85,90,75,100,580,96.7,1,2,0,0,0,0,"1 HP, 2 Attack",35,Slow,80,Slow,1250000,1,1,1,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,44.9,Volcano,No evolution,Entei,,,,,,,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.
Suicune,245,Suicune,Suicune,2,2.0,187.0,Water,,Pressure,,Inner Focus,Blue,0,0,100,80,Undiscovered,,3,290,1250000,Legendary,,,100,75,115,90,115,85,580,96.7,0,0,1,0,2,0,"1 Defense, 2 Special Defense",35,Slow,80,Slow,1250000,1,1,1,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,46.8,Aurora,No evolution,Suicune,,,,,,,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.
Larvitar,246,Larvitar,Yogiras,2,0.6,72.0,Rock,Ground,Guts,,Sand Veil,Green,50,50,0,40,Monster,,45,60,1250000,Ordinary,,,50,64,50,45,50,41,300,50.0,0,1,0,0,0,0,1 Attack,35,Slow,40,Slow,1250000,0,0,0,0,0,0,0,,,,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,200,Rock Skin,3 stages evolution,Larvitar,Level ,Pupitar,Level ,Tyranitar,,,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil."
Pupitar,247,Pupitar,Sanagiras,2,1.2,152.0,Rock,Ground,Shed Skin,,,Gray,50,50,0,40,Monster,,45,144,1250000,Ordinary,,,70,84,70,65,70,51,410,68.3,0,2,0,0,0,0,2 Attack,35,Slow,40,Slow,1250000,0,0,0,0,0,0,0,,,,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,105.6,Hard Shell,3 stages evolution,Larvitar,Level ,Pupitar,Level ,Tyranitar,,,"Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power."
Tyranitar (Mega EV),248,Tyranitar,,2,2.5,255.0,Rock,Dark,Sand Stream,,,Green,50,50,0,40,Monster,,45,315,1250000,Ordinary,Mega,,100,164,150,95,120,71,700,116.7,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyranitar,248,Tyranitar,Bangiras,2,2.0,202.0,Rock,Dark,Sand Stream,,Unnerve,Green,50,50,0,40,Monster,,45,300,1250000,Ordinary,,,100,134,110,95,100,61,600,100.0,0,3,0,0,0,0,3 Attack,35,Slow,40,Slow,1250000,1,0,0,0,0,0,0,,Mega Tyranitar,,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2,50.5,Armor,3 stages evolution,Larvitar,Level ,Pupitar,Level ,Tyranitar,,,"Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies."
Lugia,249,Lugia,Lugia,2,5.2,216.0,Psychic,Flying,Pressure,,Multiscale,White,0,0,100,120,Undiscovered,,3,340,1250000,Legendary,,,106,90,130,90,154,110,680,113.3,0,0,0,0,3,0,3 Special Defense,0,Slow,120,Slow,1250000,1,1,0,0,0,0,0,,,,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,8,Diving,No evolution,Lugia,,,,,,,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea."
Ho-Oh,250,Ho-Oh,Houou,2,3.8,199.0,Fire,Flying,Pressure,,Regenerator,Red,0,0,100,120,Undiscovered,,3,340,1250000,Legendary,,,106,130,90,110,154,90,680,113.3,0,0,0,0,3,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Rainbow,No evolution,Ho-Oh,,,,,,,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.
Celebi,251,Celebi,Celebi,2,0.6,5.0,Psychic,Grass,Natural Cure,,,Green,0,0,100,120,Undiscovered,,45,300,1058960,Mythical,,,100,100,100,100,100,100,600,100.0,3,0,0,0,0,0,3 HP,100,Medium Slow,120,Medium Slow,1059860,1,1,0,1,0,0,0,,,,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1,13.9,Time Travel,No evolution,Celebi,,,,,,,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us."
Treecko,252,Treecko,Kimori,3,0.5,5.0,Grass,,Overgrow,,Unburden,Green,87.5,12.5,0,20,Monster,Dragon,45,62,1058960,Ordinary,,,40,45,35,65,55,70,310,51.7,0,0,0,0,0,1,1 Speed,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,20,Wood Gecko,3 stages evolution,Treecko,Level ,Grovyle,Level ,Sceptile,,,Treecko has small hooks on the bottom of its feet that enable it to scale vertical walls. This Pokémon attacks by slamming foes with its thick tail.
Grovyle,253,Grovyle,Juptile,3,0.9,21.6,Grass,,Overgrow,,Unburden,Green,87.5,12.5,0,20,Monster,Dragon,45,142,1058960,Ordinary,,,50,65,45,85,65,95,405,67.5,0,0,0,0,0,2,2 Speed,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,26.7,Wood Gecko,3 stages evolution,Treecko,Level ,Grovyle,Level ,Sceptile,,,The leaves growing out of Grovyle’s body are convenient for camouflaging it from enemies in the forest. This Pokémon is a master at climbing trees in jungles.
Sceptile,254,Sceptile,Jukain,3,1.7,52.2,Grass,,Overgrow,,Unburden,Green,87.5,12.5,0,20,Monster,Dragon,45,265,1058960,Ordinary,,,70,85,65,105,85,120,530,88.3,0,0,0,0,0,3,3 Speed,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,Mega Sceptile,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,18.1,Forest,3 stages evolution,Treecko,Level ,Grovyle,Level ,Sceptile,,,The leaves growing on Sceptile’s body are very sharp edged. This Pokémon is very agile—it leaps all over the branches of trees and jumps on its foe from above or behind.
Sceptile (Mega EV),254,Sceptile,,3,1.9,55.2,Grass,Dragon,Lightning Rod,,,Green,87.5,12.5,0,20,Monster,Dragon,45,284,1058960,Ordinary,Mega,,70,110,75,145,85,145,630,105.0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torchic,255,Torchic,Achamo,3,0.4,2.5,Fire,,Blaze,,Speed Boost,Red,87.5,12.5,0,20,Ground,,45,62,1058960,Ordinary,,,45,60,40,70,50,45,310,51.7,0,0,0,1,0,0,1 Special Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,15.6,Chick,3 stages evolution,Torchic,Level ,Combusken,Level ,Blaziken,,,"Torchic sticks with its Trainer, following behind with unsteady steps. This Pokémon breathes fire of over 1,800 degrees Fahrenheit, including fireballs that leave the foe scorched black."
Combusken,256,Combusken,Wakasyamo,3,0.9,19.5,Fire,Fighting,Blaze,,Speed Boost,Red,87.5,12.5,0,20,Ground,,45,142,1058960,Ordinary,,,60,85,60,85,60,55,405,67.5,0,1,0,1,0,0,"1 Attack, 1 Special Attack",50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,24.1,Young Fowl,3 stages evolution,Torchic,Level ,Combusken,Level ,Blaziken,,,"Combusken toughens up its legs and thighs by running through fields and mountains. This Pokémon’s legs possess both speed and power, enabling it to dole out 10 kicks in one second."
Blaziken (Mega EV),257,Blaziken,,3,1.9,52.0,Fire,Fighting,Speed Boost,,,Red,87.5,12.5,0,20,Ground,,45,284,1058960,Ordinary,Mega,,80,160,80,130,80,100,630,105.0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaziken,257,Blaziken,Bursyamo,3,1.9,52.0,Fire,Fighting,Blaze,,Speed Boost,Red,87.5,12.5,0,20,Ground,,45,265,1058960,Ordinary,,,80,120,70,110,70,80,530,88.3,0,3,0,0,0,0,3 Attack,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,Mega Blaziken,,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,14.4,Blaze,3 stages evolution,Torchic,Level ,Combusken,Level ,Blaziken,,,"In battle, Blaziken blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this Pokémon’s wrists burn."
Mudkip,258,Mudkip,Mizugorou,3,0.4,7.6,Water,,Torrent,,Damp,Blue,87.5,12.5,0,20,Monster,Water1,45,62,1058960,Ordinary,,,50,70,50,50,50,40,310,51.7,0,1,0,0,0,0,1 Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,47.5,Mud Fish,3 stages evolution,Mudkip,Level ,Marshtomp,Level ,Swampert,,,"The fin on Mudkip’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this Pokémon can determine what is taking place around it without using its eyes."
Marshtomp,259,Marshtomp,Numacraw,3,0.7,28.0,Water,Ground,Torrent,,Damp,Blue,87.5,12.5,0,20,Monster,Water1,45,142,1058960,Ordinary,,,70,85,70,60,70,50,405,67.5,0,2,0,0,0,0,2 Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,57.1,Mud Fish,3 stages evolution,Mudkip,Level ,Marshtomp,Level ,Swampert,,,"The surface of Marshtomp’s body is enveloped by a thin, sticky film that enables it to live on land. This Pokémon plays in mud on beaches when the ocean tide is low."
Swampert (Mega EV),260,Swampert,,3,1.9,102.0,Water,Ground,Swift Swim,,,Blue,87.5,12.5,0,20,Monster,Water1,45,286,1058960,Ordinary,Mega,,100,150,110,95,110,70,635,105.8,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swampert,260,Swampert,Laglarge,3,1.5,81.9,Water,Ground,Torrent,,Damp,Blue,87.5,12.5,0,20,Monster,Water1,45,268,1058960,Ordinary,,,100,110,90,85,90,60,535,89.2,0,3,0,0,0,0,3 Attack,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,Mega Swampert,,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,36.4,Mud Fish,3 stages evolution,Mudkip,Level ,Marshtomp,Level ,Swampert,,,Swampert is very strong. It has enough power to easily drag a boulder weighing more than a ton. This Pokémon also has powerful vision that lets it see even in murky water.
Poochyena,261,Poochyena,Pochiena,3,0.5,13.6,Dark,,Run Away,Quick Feet,Rattled,Gray,50,50,0,15,Ground,,255,56,1000000,Ordinary,,,35,55,35,30,30,35,220,36.7,0,1,0,0,0,0,1 Attack,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,54.4,Bite,2 stages evolution,Poochyena,Level ,Mightyena,,,,,"At first sight, Poochyena takes a bite at anything that moves. This Pokémon chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back."
Mightyena,262,Mightyena,Graena,3,1.0,37.0,Dark,,Intimidate,Quick Feet,Moxie,Gray,50,50,0,15,Ground,,127,147,1000000,Ordinary,,,70,90,70,60,60,70,420,70.0,0,2,0,0,0,0,2 Attack,50,Medium Fast,15,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,37,Bite,2 stages evolution,Poochyena,Level ,Mightyena,,,,,Mightyena gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This Pokémon will bite savagely with its sharply pointed fangs.
Zigzagoon (Galarian),263,Zigzagoon,,8,0.4,17.5,Dark,Normal,Pickup,Gluttony,Quick Feet,White,50,50,0,15,Ground,,255,56,1000000,Ordinary,,Galarian,38,30,41,30,41,60,240,40.0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zigzagoon,263,Zigzagoon,Jiguzaguma,3,0.4,17.5,Normal,,Pickup,Gluttony,Quick Feet,Brown,50,50,0,15,Ground,,255,56,1000000,Ordinary,,,38,30,41,30,41,60,240,40.0,0,0,0,0,0,1,1 Speed,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,109.4,Tiny Raccoon,2 stages evolution,Zigzagoon,Level,Linoone,Level 35 at Night,,,,It marks its territory by rubbing its bristly fur on trees. This variety of Zigzagoon is friendlier and calmer than the kind native to Galar.
Linoone,264,Linoone,Massuguma,3,0.5,32.5,Normal,,Pickup,Gluttony,Quick Feet,White,50,50,0,15,Ground,,90,147,1000000,Ordinary,,,78,70,61,50,61,100,420,70.0,0,0,0,0,0,2,2 Speed,50,Medium Fast,15,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,130,Rushing,2 stages evolution,Zigzagoon,Level,Linoone,Level 35 at Night,,,,Its fur is strong and supple. Shaving brushes made with shed Linoone hairs are highly prized.
Linoone (Galarian),264,Linoone,,8,0.5,32.5,Dark,Normal,Pickup,Gluttony,Quick Feet,White,50,50,0,15,Ground,,90,147,1000000,Ordinary,,Galarian,78,70,61,50,61,100,420,70.0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurmple,265,Wurmple,Kemusso,3,0.3,3.6,Bug,,Shield Dust,,Run Away,Red,50,50,0,15,Bug,,255,56,1000000,Ordinary,,,45,45,35,20,30,20,195,32.5,1,0,0,0,0,0,1 HP,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,40,Worm,2 stages evolution with 2 forms,Wurmple,Personality < 5 at Level,Silcoon,Level,Beautifly,,,"Using the spikes on its rear end, Wurmple peels the bark off trees and feeds on the sap that oozes out. This Pokémon’s feet are tipped with suction pads that allow it to cling to glass without slipping."
Silcoon,266,Silcoon,Karasalis,3,0.6,10.0,Bug,,Shed Skin,,,White,50,50,0,15,Bug,,120,72,1000000,Ordinary,,,50,35,55,25,25,15,205,34.2,0,0,2,0,0,0,2 Defense,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,27.8,Cocoon,2 stages evolution with 2 forms,Wurmple,Personality < 5 at Level,Silcoon,Level,Beautifly,,,"Silcoon tethers itself to a tree branch using silk to keep from falling. There, this Pokémon hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole."
Beautifly,267,Beautifly,Agehunt,3,1.0,28.4,Bug,Flying,Swarm,,Rivalry,Yellow,50,50,0,15,Bug,,45,178,1000000,Ordinary,,,60,70,50,100,50,65,395,65.8,0,0,0,3,0,0,3 Special Attack,50,Medium Fast,15,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,28.4,Butterfly,2 stages evolution with 2 forms,Wurmple,Personality < 5 at Level,Silcoon,Level,Beautifly,,,"Beautifly’s favorite food is the sweet pollen of flowers. If you want to see this Pokémon, just leave a potted flower by an open window. Beautifly is sure to come looking for pollen."
Cascoon,268,Cascoon,Mayuld,3,0.7,11.5,Bug,,Shed Skin,,,Purple,50,50,0,15,Bug,,120,72,1000000,Ordinary,,,50,35,55,25,25,15,205,34.2,0,0,2,0,0,0,2 Defense,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,23.5,Cocoon,2 stages evolution with 2 forms,Wurmple,Personality < 5 at Level,Silcoon,Level,Beautifly,,,"Cascoon makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This Pokémon prepares for its evolution inside the cocoon."
Dustox,269,Dustox,Dokucale,3,1.2,31.6,Bug,Poison,Shield Dust,,Compound Eyes,Green,50,50,0,15,Bug,,45,173,1000000,Ordinary,,,60,50,70,50,90,65,385,64.2,0,0,0,0,3,0,3 Special Defense,50,Medium Fast,15,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,21.9,Poison Moth,2 stages evolution with 2 forms,Wurmple,Personality < 5 at Level,Silcoon,Level,Beautifly,,,"Dustox is instinctively drawn to light. Swarms of this Pokémon are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
Lotad,270,Lotad,Hassboh,3,0.5,2.6,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Green,50,50,0,15,Water1,Grass,255,44,1058960,Ordinary,,,40,30,30,40,50,30,220,36.7,0,0,0,0,1,0,1 Special Defense,50,Medium Slow,15,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,10.4,Water Weed,3 stages evolution,Lotad,Level ,Lombre,Use Water Stone,Ludicolo,,,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts."
Lombre,271,Lombre,Hasubrero,3,1.2,32.5,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Green,50,50,0,15,Water1,Grass,120,119,1058960,Ordinary,,,60,50,50,60,70,50,340,56.7,0,0,0,0,2,0,2 Special Defense,50,Medium Slow,15,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,22.6,Jolly,3 stages evolution,Lotad,Level ,Lombre,Use Water Stone,Ludicolo,,,It is nocturnal and becomes active at nightfall. It feeds on aquatic mosses that grow in the riverbed.
Ludicolo,272,Ludicolo,Runpappa,3,1.5,55.0,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Green,50,50,0,15,Water1,Grass,45,240,1058960,Ordinary,,,80,70,70,90,100,70,480,80.0,0,0,0,0,3,0,3 Special Defense,50,Medium Slow,15,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,24.4,Carefree,3 stages evolution,Lotad,Level ,Lombre,Use Water Stone,Ludicolo,,,"The rhythm of bright, festive music activates Ludicolo’s cells, making it more powerful."
Seedot,273,Seedot,Taneboh,3,0.5,4.0,Grass,,Chlorophyll,Early Bird,Pickpocket,Brown,50,50,0,15,Ground,Grass,255,44,1058960,Ordinary,,,40,40,50,30,30,30,220,36.7,0,0,1,0,0,0,1 Defense,50,Medium Slow,15,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,16,Acorn,3 stages evolution,Seedot,Level ,Nuzleaf,Use Leaf Stone,Shiftry,,,"If it remains still, it looks just like a real nut. It delights in surprising foraging Pokémon."
Nuzleaf,274,Nuzleaf,Konohana,3,1.0,28.0,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Brown,50,50,0,15,Ground,Grass,120,119,1058960,Ordinary,,,70,70,40,60,40,60,340,56.7,0,2,0,0,0,0,2 Attack,50,Medium Slow,15,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2,28,Wily,3 stages evolution,Seedot,Level ,Nuzleaf,Use Leaf Stone,Shiftry,,,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy."
Shiftry,275,Shiftry,Dirteng,3,1.3,59.6,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Brown,50,50,0,15,Ground,Grass,45,240,1058960,Ordinary,,,90,100,60,90,60,80,480,80.0,0,3,0,0,0,0,3 Attack,50,Medium Slow,15,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2,35.3,Wicked,3 stages evolution,Seedot,Level ,Nuzleaf,Use Leaf Stone,Shiftry,,,A Pokémon that was feared as a forest guardian. It can read the foe’s mind and take preemptive action.
Taillow,276,Taillow,Subame,3,0.3,2.3,Normal,Flying,Guts,,Scrappy,Blue,50,50,0,15,Flying,,200,54,1058960,Ordinary,,,40,55,30,30,30,85,270,45.0,0,0,0,0,0,1,1 Speed,50,Medium Slow,15,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,25.6,Tiny Swallow,2 stages evolution,Taillow,Level ,Swellow,,,,,"Taillow courageously stands its ground against foes, however strong they may be. This gutsy Pokémon will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry."
Swellow,277,Swellow,Ohsubame,3,0.7,19.8,Normal,Flying,Guts,,Scrappy,Blue,50,50,0,15,Flying,,45,159,1058960,Ordinary,,,60,85,60,75,50,125,455,75.8,0,0,0,0,0,2,2 Speed,50,Medium Slow,15,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,40.4,Swallow,2 stages evolution,Taillow,Level ,Swellow,,,,,"Swellow flies high above our heads, making graceful arcs in the sky. This Pokémon dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by Swellow’s clawed feet, preventing escape."
Wingull,278,Wingull,Camome,3,0.6,9.5,Water,Flying,Keen Eye,Hydration,Rain Dish,White,50,50,0,20,Water1,Flying,190,54,1000000,Ordinary,,,40,30,30,55,30,85,270,45.0,0,0,0,0,0,1,1 Speed,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,26.4,Seagull,2 stages evolution,Wingull,Level ,Pelipper,,,,,"It makes its nest on sheer cliffs. Riding the sea breeze, it glides up into the expansive skies."
Pelipper,279,Pelipper,Pelipper,3,1.2,28.0,Water,Flying,Keen Eye,Drizzle,Rain Dish,Yellow,50,50,0,20,Water1,Flying,45,154,1000000,Ordinary,,,60,50,100,95,70,65,440,73.3,0,0,2,0,0,0,2 Defense,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,19.4,Water Bird,2 stages evolution,Wingull,Level ,Pelipper,,,,,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill."
Ralts,280,Ralts,Ralts,3,0.4,6.6,Psychic,Fairy,Synchronize,Trace,Telepathy,White,50,50,0,20,Human-Like,Amorphous,235,40,1250000,Ordinary,,,28,25,25,45,35,40,198,33.0,0,0,0,1,0,0,1 Special Attack,35,Slow,20,Slow,1250000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,41.3,Feeling,3 stages evolution with 2 forms in last stage,Ralts,Level,Kirlia,Level,Gardevoir,"On Male Pokémon, use Dawn Stone",Gallade,It is highly attuned to the emotions of people and Pokémon. It hides if it senses hostility.
